config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_LHS_1754_Type3_WFreeze_Lab3,40,4.0,1.0,0.0,1000000,991417,984576,1875,1875,1446,417,0,12,0.1875,0.1875,0.1446
FINAL_LHS_1754_Type3_WFreeze_Lab4,41,1.0,2.0,0.0,1000000,991417,984576,620,620,192,381,0,47,0.062,0.062,0.0192
FINAL_LHS_1754_Type3_WFreeze_Lab5,42,1.0,3.0,0.0,1000000,991417,984576,543,543,116,380,0,47,0.0543,0.0543,0.0116
FINAL_LHS_1754_Type3_WFreeze_Lab6,43,1.0,4.0,0.0,1000000,991417,984576,513,513,86,380,0,47,0.0513,0.0513,0.0086
FINAL_LHS_1754_Type3_WFreeze_Unequal1,44,1.0,0.1,0.0,1000000,991417,984576,3268,3268,2818,403,0,47,0.3268,0.3268,0.2818
FINAL_LHS_1754_Type3_WFreeze_Unequal2,45,0.1,1.0,0.0,1000000,991417,984576,449,449,22,263,0,164,0.0449,0.0449,0.0022
FINAL_LHS_1754_Type3_WFreeze_Unequal3,46,10.0,1.0,0.0,1000000,991417,984576,3267,3267,2838,425,0,4,0.3267,0.3267,0.2838
FINAL_LHS_1754_Type3_WFreeze_Unequal4,47,1.0,10.0,0.0,1000000,991417,984576,450,450,24,379,0,47,0.045,0.045,0.0024
FINAL_LHS_1754_Type3_WFreeze_Unequal5,48,0.1,10.0,0.0,1000000,991417,984576,428,428,2,261,0,165,0.0428,0.0428,0.0002
FINAL_LHS_1754_Type3_WFreeze_Unequal6,49,10.0,0.1,0.0,1000000,991417,984576,8199,8199,7749,446,0,4,0.8199,0.8199,0.7749
FINAL_LHS_1754_Type3_VWFreeze_Equal1,50,1.0,0.0,0.0,1000000,991417,984576,14922,14922,0,0,0,14922,1.4922,1.4922,0.0
FINAL_LHS_1754_Type3_VWFreeze_Equal2,51,0.1,0.0,0.0,1000000,991417,984576,13558,13558,0,0,0,13558,1.3558,1.3558,0.0
FINAL_LHS_1754_Type3_VWFreeze_Equal3,52,10.0,0.0,0.0,1000000,991417,984576,15053,15053,0,0,0,15053,1.5053,1.5053,0.0
