config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_LHS_1754_Type1_Control_Slow,0,0.1,0.1,0.1,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type1_Control_Equal,1,1.0,1.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type1_Control_Fast,2,10.0,10.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1000000,991417,984576,162,162,162,0,0,0,0.0162,0.0162,0.0162
NEW_LHS_1754_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1000000,991417,984576,224,224,224,0,0,0,0.0224,0.0224,0.0224
NEW_LHS_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1000000,991417,984576,587,587,587,0,0,0,0.0587,0.0587,0.0587
NEW_LHS_1754_Type1_UFast_Unequal4,6,10.0,1.0,0.1,1000000,991417,984576,1697,1697,1697,0,0,0,0.1697,0.1697,0.1697
NEW_LHS_1754_Type1_UFast_Unequal5,7,10.0,0.1,0.1,1000000,991417,984576,4052,4052,4052,0,0,0,0.4052,0.4052,0.4052
NEW_LHS_1754_Type1_UVFast_Unequal1,8,10.0,10.0,1.0,1000000,991417,984576,28,28,28,0,0,0,0.0028,0.0028,0.0028
NEW_LHS_1754_Type1_UVFast_Unequal2,9,1.0,1.0,0.1,1000000,991417,984576,42,42,42,0,0,0,0.0042,0.0042,0.0042
NEW_LHS_1754_Type1_UVFast_Unequal3,10,10.0,10.0,0.1,1000000,991417,984576,434,434,434,0,0,0,0.0434,0.0434,0.0434
NEW_LHS_1754_Type2_VFreeze_Equal1,11,1.0,0.0,1.0,1000000,991417,984576,17,17,17,0,0,0,0.0017,0.0017,0.0017
NEW_LHS_1754_Type2_VFreeze_Equal2,12,0.1,0.0,0.1,1000000,991417,984576,17,17,17,0,0,0,0.0017,0.0017,0.0017
NEW_LHS_1754_Type2_VFreeze_Equal3,13,10.0,0.0,10.0,1000000,991417,984576,12,12,12,0,0,0,0.0012,0.0012,0.0012
NEW_LHS_1754_Type2_VFreeze_Unequal1,14,0.1,0.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type2_VFreeze_Unequal2,15,1.0,0.0,0.1,1000000,991417,984576,930,930,930,0,0,0,0.093,0.093,0.093
NEW_LHS_1754_Type2_VFreeze_Unequal3,16,0.1,0.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type2_VFreeze_Unequal4,17,10.0,0.0,0.1,1000000,991417,984576,5667,5667,5667,0,0,0,0.5667,0.5667,0.5667
NEW_LHS_1754_Type2_VFreeze_Unequal5,18,1.0,0.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type2_VFreeze_Unequal6,19,10.0,0.0,1.0,1000000,991417,984576,851,851,851,0,0,0,0.0851,0.0851,0.0851
NEW_LHS_1754_Type3_UFreeze_Equal1,20,0.0,1.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Equal2,21,0.0,0.1,0.1,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Equal3,22,0.0,10.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal1,23,0.0,1.0,0.1,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal2,24,0.0,0.1,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal3,25,0.0,10.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal4,26,0.0,1.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal5,27,0.0,0.1,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UFreeze_Unequal6,28,0.0,10.0,0.1,1000000,991417,984576,41,41,41,0,0,0,0.0041,0.0041,0.0041
NEW_LHS_1754_Type3_UVFreeze_Equal1,29,0.0,0.0,1.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UVFreeze_Equal2,30,0.0,0.0,0.1,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_UVFreeze_Equal3,31,0.0,0.0,10.0,1000000,991417,984576,0,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_WFreeze_Equal1,32,1.0,1.0,0.0,1000000,991417,984576,826,826,400,379,0,47,0.0826,0.0826,0.04
NEW_LHS_1754_Type3_WFreeze_Equal2,33,0.1,0.1,0.0,1000000,991417,984576,825,825,399,253,0,173,0.0825,0.0825,0.0399
NEW_LHS_1754_Type3_WFreeze_Equal3,34,10.0,10.0,0.0,1000000,991417,984576,794,794,368,421,0,5,0.0794,0.0794,0.0368
NEW_LHS_1754_Type3_WFreeze_Unequal1,35,1.0,0.1,0.0,1000000,991417,984576,3259,3259,2831,380,0,48,0.3259,0.3259,0.2831
NEW_LHS_1754_Type3_WFreeze_Unequal2,36,0.1,1.0,0.0,1000000,991417,984576,449,449,23,253,0,173,0.0449,0.0449,0.0023
NEW_LHS_1754_Type3_WFreeze_Unequal3,37,10.0,1.0,0.0,1000000,991417,984576,3196,3196,2770,421,0,5,0.3196,0.3196,0.277
NEW_LHS_1754_Type3_WFreeze_Unequal4,38,1.0,10.0,0.0,1000000,991417,984576,450,450,24,379,0,47,0.045,0.045,0.0024
NEW_LHS_1754_Type3_WFreeze_Unequal5,39,0.1,10.0,0.0,1000000,991417,984576,428,428,2,253,0,173,0.0428,0.0428,0.0002
NEW_LHS_1754_Type3_WFreeze_Unequal6,40,10.0,0.1,0.0,1000000,991417,984576,8157,8157,7729,423,0,5,0.8157,0.8157,0.7729
NEW_LHS_1754_Type3_VWFreeze_Equal1,41,1.0,0.0,0.0,1000000,991417,984576,14919,14919,0,0,0,14919,1.4919,1.4919,0.0
NEW_LHS_1754_Type3_VWFreeze_Equal2,42,0.1,0.0,0.0,1000000,991417,984576,13532,13532,0,0,0,13532,1.3532,1.3532,0.0
NEW_LHS_1754_Type3_VWFreeze_Equal3,43,10.0,0.0,0.0,1000000,991417,984576,15053,15053,0,0,0,15053,1.5053,1.5053,0.0
