config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_LHS_1754_Type1_V1_Equal,0,10.0,1.0,1.0,1000000,991417,984576,162,162,162,0,0,0.0162,0.0162,0.0162
NEW_LHS_1754_Type1_V1_Control,1,1.0,1.0,1.0,1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type1_V1_Unequal1,2,10.0,5.0,1.0,1000000,991417,984576,46,46,46,0,0,0.0046,0.0046,0.0046
NEW_LHS_1754_Type1_V1_Unequal2,3,10.0,1.0,5.0,1000000,991417,984576,2,2,2,0,0,0.0002,0.0002,0.0002
NEW_LHS_1754_Type2_V1_Equal,4,1.0,0.0,1.0,1000000,991417,984576,17,17,17,0,0,0.0017,0.0017,0.0017
NEW_LHS_1754_Type2_V1_Unequal1,5,1.0,0.0,5.0,1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type2_V1_Unequal2,6,5.0,0.0,1.0,1000000,991417,984576,310,310,310,0,0,0.031,0.031,0.031
NEW_LHS_1754_Type2_V1_Unequal3,7,1.0,0.0,0.1,1000000,991417,984576,930,930,930,0,0,0.093,0.093,0.093
NEW_LHS_1754_Type2_V1_Unequal4,8,0.1,0.0,1.0,1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0
NEW_LHS_1754_Type3_V1_Equal,9,1.0,1.0,0.0,1000000,991417,984576,826,826,400,426,0,0.0826,0.0826,0.04
NEW_LHS_1754_Type3_V1_Unequal1,10,5.0,1.0,0.0,1000000,991417,984576,2111,2111,1685,426,0,0.2111,0.2111,0.1685
NEW_LHS_1754_Type3_V1_Unequal2,11,1.0,5.0,0.0,1000000,991417,984576,490,490,64,426,0,0.049,0.049,0.0064
NEW_LHS_1754_Type3_V1_Unequal3,12,1.0,0.1,0.0,1000000,991417,984576,3259,3259,2831,428,0,0.3259,0.3259,0.2831
NEW_LHS_1754_Type3_V1_Unequal4,13,0.1,1.0,0.0,1000000,991417,984576,449,449,24,425,0,0.0449,0.0449,0.0024
NEW_LHS_1754_Type3_V2_Equal,14,1.0,0.0,0.0,1000000,991417,984576,14919,14919,0,14919,0,1.4919,1.4919,0.0
NEW_LHS_1754_Type3_V2_Unequal1,15,0.1,0.0,0.0,1000000,991417,984576,13532,13532,0,13532,0,1.3532,1.3532,0.0
NEW_LHS_1754_Type3_V2_Unequal2,16,10.0,0.0,0.0,1000000,991417,984576,15053,15053,0,15053,0,1.5053,1.5053,0.0
