config_name,config_id,diffusion,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
LHS_1754_CCD_Type1,10,"{'dU': 10.0, 'dV': 10.0, 'dW': 1.0}",1000000,991417,984576,28,28,28,0,0,0.0028,0.0028,0.0028,0.0028
LHS_1754_CCD_Type1_OneFast,11,"{'dU': 10.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,162,162,162,0,0,0.0162,0.0162,0.0162,0.0162
LHS_1754_CCD_Type1_Control,12,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_CCD_Type2_Equal,13,"{'dU': 1.0, 'dV': 0.0, 'dW': 1.0}",1000000,991417,984576,17,17,17,0,0,0.0017,0.0017,0.0017,0.0017
LHS_1754_CCD_Type2_Unequal1,14,"{'dU': 0.1, 'dV': 0.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_CCD_Type2_Unequal2,15,"{'dU': 1.0, 'dV': 0.0, 'dW': 10.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_CCD_Type2_Limit,16,"{'dU': 0.1, 'dV': 0.0, 'dW': 0.1}",1000000,991417,984576,17,17,17,0,0,0.0017,0.0017,0.0017,0.0017
LHS_1754_CCD_Type3_Equal,17,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,826,826,400,426,0,0.0826,0.0826,0.04,0.04
LHS_1754_CCD_Type3_Unequal1,18,"{'dU': 0.1, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,449,449,24,425,0,0.0449,0.0449,0.0024,0.0024
LHS_1754_CCD_Type3_Unequal2,19,"{'dU': 1.0, 'dV': 10.0, 'dW': 0.0}",1000000,991417,984576,450,450,24,426,0,0.045,0.045,0.0024,0.0024
LHS_1754_CCD_Type3_Limit,20,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,991417,984576,825,825,399,426,0,0.0825,0.0825,0.0399,0.0399
LHS_1754_DCC_Type1,21,"{'dU': 1.0, 'dV': 10.0, 'dW': 10.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_DCC_Type1_OneFast,22,"{'dU': 1.0, 'dV': 1.0, 'dW': 10.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_DCC_Type1_Control,23,"{'dU': 1.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_DCC_Type2_Equal,24,"{'dU': 1.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,826,826,400,426,0,0.0826,0.0826,0.04,0.04
LHS_1754_DCC_Type2_Unequal1,25,"{'dU': 10.0, 'dV': 1.0, 'dW': 0.0}",1000000,991417,984576,3196,3196,2770,426,0,0.3196,0.3196,0.277,0.277
LHS_1754_DCC_Type2_Unequal2,26,"{'dU': 1.0, 'dV': 0.1, 'dW': 0.0}",1000000,991417,984576,3259,3259,2831,428,0,0.3259,0.3259,0.2831,0.2831
LHS_1754_DCC_Type2_Limit,27,"{'dU': 0.1, 'dV': 0.1, 'dW': 0.0}",1000000,991417,984576,825,825,399,426,0,0.0825,0.0825,0.0399,0.0399
LHS_1754_DCC_Type3_Equal,28,"{'dU': 0.0, 'dV': 1.0, 'dW': 1.0}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
LHS_1754_DCC_Type3_Limit,29,"{'dU': 0.0, 'dV': 0.1, 'dW': 0.1}",1000000,991417,984576,0,0,0,0,0,0.0,0.0,0.0,0.0
