config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.1,1000000,693273,10472,10472,10472,0,0,1.0472,1.0472,1.0472
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.2,1000000,642962,13891,13891,13891,0,0,1.3891,1.3891,1.3891
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.3,1000000,597884,17156,17156,17156,0,0,1.7156,1.7156,1.7156
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.4,1000000,557987,20486,20486,20486,0,0,2.0486,2.0486,2.0486
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.5,1000000,522340,23888,23888,23888,0,0,2.3888,2.3888,2.3888
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.6,1000000,490763,27018,27018,27018,0,0,2.7018,2.7018,2.7018
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,1.8,1000000,438213,32874,32874,32874,0,0,3.2874,3.2874,3.2874
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,2.0,1000000,396326,38374,38374,38374,0,0,3.8374,3.8374,3.8374
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,2.2,1000000,362146,42852,42852,42852,0,0,4.2852,4.2852,4.2852
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,2.4,1000000,334549,46744,46744,46744,0,0,4.6744,4.6744,4.6744
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,2.6,1000000,311422,50088,50088,50088,0,0,5.0088,5.0088,5.0088
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,2.8,1000000,291815,52655,52655,52655,0,0,5.2655,5.2655,5.2655
RMT_1823_CDD_Type2_Unequal1,5,1.0,0.1,0.0,3.0,1000000,275255,54969,54969,54969,0,0,5.4969,5.4969,5.4969
