config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.5,100000,99732,10,10,10,0,0,0.01,0.01,0.01
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.6,100000,98966,66,66,66,0,0,0.066,0.066,0.066
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.7,100000,97782,214,214,214,0,0,0.214,0.214,0.214
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.8,100000,96149,530,530,530,0,0,0.53,0.53,0.53
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.9,100000,94311,1090,1090,1090,0,0,1.09,1.09,1.09
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.0,100000,92345,1719,1719,1719,0,0,1.719,1.719,1.719
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.1,100000,90198,2294,2294,2294,0,0,2.294,2.294,2.294
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.2,100000,88080,2945,2945,2945,0,0,2.945,2.945,2.945
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.3,100000,85689,3535,3535,3535,0,0,3.535,3.535,3.535
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.4,100000,83226,3977,3977,3977,0,0,3.977,3.977,3.977
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.5,100000,80727,4391,4391,4391,0,0,4.391,4.391,4.391
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.6,100000,78077,4706,4706,4706,0,0,4.706,4.706,4.706
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.8,100000,72870,5242,5242,5242,0,0,5.242,5.242,5.242
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.0,100000,67959,5488,5488,5488,0,0,5.488,5.488,5.488
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.2,100000,63389,5623,5623,5623,0,0,5.623,5.623,5.623
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.4,100000,59093,5701,5701,5701,0,0,5.701,5.701,5.701
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.6,100000,55261,5602,5602,5602,0,0,5.602,5.602,5.602
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.8,100000,51853,5562,5562,5562,0,0,5.562,5.562,5.562
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.0,100000,48898,5509,5509,5509,0,0,5.509,5.509,5.509
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.2,100000,46233,5487,5487,5487,0,0,5.487,5.487,5.487
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.4,100000,43879,5399,5399,5399,0,0,5.399,5.399,5.399
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.6,100000,41674,5279,5279,5279,0,0,5.279,5.279,5.279
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.8,100000,39752,5171,5171,5171,0,0,5.171,5.171,5.171
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,4.0,100000,38013,5123,5123,5123,0,0,5.123,5.123,5.123
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,5.0,100000,31319,4694,4694,4694,0,0,4.694,4.694,4.694
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,6.0,100000,26971,4423,4423,4423,0,0,4.423,4.423,4.423
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,7.0,100000,23995,4155,4155,4155,0,0,4.155,4.155,4.155
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,8.0,100000,21713,3973,3973,3973,0,0,3.973,3.973,3.973
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,9.0,100000,19905,3785,3785,3785,0,0,3.785,3.785,3.785
NEW_RMT_3954_Type1_UFast_Unequal1,3,10.0,1.0,1.0,10.0,100000,18489,3619,3619,3619,0,0,3.619,3.619,3.619
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.4,100000,99981,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.5,100000,99732,10,10,10,0,0,0.01,0.01,0.01
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.6,100000,98966,69,69,69,0,0,0.069,0.069,0.069
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.7,100000,97782,220,220,220,0,0,0.22,0.22,0.22
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.8,100000,96149,539,539,539,0,0,0.539,0.539,0.539
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,0.9,100000,94311,1108,1108,1108,0,0,1.108,1.108,1.108
NEW_RMT_3954_Type1_UFast_Unequal2,4,1.0,0.1,0.1,1.0,100000,92345,1749,1749,1749,0,0,1.749,1.749,1.749
