config_name,config_id,dU,dV,dW,n_samples,steady_states,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_LHS_3954_Type3_UFreeze_Unequal3,38,0.0,10.0,1.0,1000000,969615,951296,6758,6758,1,0,9,6748,0.6758,0.6758,0.0001
NEW_LHS_3954_Type3_UFreeze_Unequal4,39,0.0,1.0,10.0,1000000,969615,951296,6700,6700,0,0,0,6700,0.67,0.67,0.0
NEW_LHS_3954_Type3_UFreeze_Unequal5,40,0.0,0.1,10.0,1000000,969615,951296,6017,6017,0,0,1,6016,0.6017,0.6017,0.0
NEW_LHS_3954_Type3_UFreeze_Unequal6,41,0.0,10.0,0.1,1000000,969615,951296,6783,6783,26,0,111,6646,0.6783,0.6783,0.0026
NEW_LHS_3954_Type3_WFreeze_Equal1,42,1.0,1.0,0.0,1000000,969615,951296,652,652,356,274,0,22,0.0652,0.0652,0.0356
NEW_LHS_3954_Type3_WFreeze_Equal2,43,0.1,0.1,0.0,1000000,969615,951296,656,656,343,214,0,99,0.0656,0.0656,0.0343
NEW_LHS_3954_Type3_WFreeze_Equal3,44,10.0,10.0,0.0,1000000,969615,951296,619,619,325,291,0,3,0.0619,0.0619,0.0325
NEW_LHS_3954_Type3_WFreeze_Unequal1,45,1.0,0.1,0.0,1000000,969615,951296,2828,2828,2508,298,0,22,0.2828,0.2828,0.2508
NEW_LHS_3954_Type3_WFreeze_Unequal2,46,0.1,1.0,0.0,1000000,969615,951296,402,412,107,200,10,95,0.0402,0.0412,0.0107
NEW_LHS_3954_Type3_WFreeze_Unequal3,47,10.0,1.0,0.0,1000000,969615,951296,2764,2764,2468,293,0,3,0.2764,0.2764,0.2468
NEW_LHS_3954_Type3_WFreeze_Unequal4,48,1.0,10.0,0.0,1000000,969615,951296,384,398,97,272,7,22,0.0384,0.0398,0.0097
NEW_LHS_3954_Type3_WFreeze_Unequal5,49,0.1,10.0,0.0,1000000,969615,951296,2470,2570,2132,192,151,95,0.247,0.257,0.2132
NEW_LHS_3954_Type3_WFreeze_Unequal6,50,10.0,0.1,0.0,1000000,969615,951296,6735,6735,6415,317,0,3,0.6735,0.6735,0.6415
NEW_LHS_3954_Type3_VWFreeze_Equal1,54,1.0,0.0,0.0,1000000,969615,951296,11488,11488,0,0,0,11488,1.1488,1.1488,0.0
NEW_LHS_3954_Type3_VWFreeze_Equal2,55,0.1,0.0,0.0,1000000,969615,951296,10673,10673,0,0,0,10673,1.0673,1.0673,0.0
NEW_LHS_3954_Type3_VWFreeze_Equal3,56,10.0,0.0,0.0,1000000,969615,951296,11572,11572,0,0,0,11572,1.1572,1.1572,0.0
