config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I,rob_shaberi_excl_II
RMT_3954_DCC_Type1_Control,2,1.0,1.0,1.0,10.0,100000,18489,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,0.6,100000,98966,2,2,2,0,0,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.0,100000,92345,123,123,123,0,0,0.13319616654935296,0.13319616654935296,0.13319616654935296,0.13319616654935296
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.4,100000,83226,534,534,534,0,0,0.6416264148222911,0.6416264148222911,0.6416264148222911,0.6416264148222911
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,1.8,100000,72870,966,966,966,0,0,1.3256484149855907,1.3256484149855907,1.3256484149855907,1.3256484149855907
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.6612957812798894,1.6612957812798894,1.6612957812798894,1.6612957812798894
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.4,100000,59093,1501,1501,1501,0,0,2.5400639669673226,2.5400639669673226,2.5400639669673226,2.5400639669673226
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,2.8,100000,51853,1728,1728,1728,0,0,3.3324976375523114,3.3324976375523114,3.3324976375523114,3.3324976375523114
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.2,100000,46233,1999,1999,1999,0,0,4.323751432959142,4.323751432959142,4.323751432959142,4.323751432959142
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.6,100000,41674,2160,2160,2160,0,0,5.183087776551327,5.183087776551327,5.183087776551327,5.183087776551327
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,3.8,100000,39752,2225,2225,2225,0,0,5.597202656470115,5.597202656470115,5.597202656470115,5.597202656470115
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,4.0,100000,38013,2293,2293,2293,0,0,6.032146897114145,6.032146897114145,6.032146897114145,6.032146897114145
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,6.0,100000,26971,2837,2837,2837,0,0,10.518705276037226,10.518705276037226,10.518705276037226,10.518705276037226
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,8.0,100000,21713,3107,3107,3107,0,0,14.309399898678212,14.309399898678212,14.309399898678212,14.309399898678212
RMT_3954_DCC_Type2_Equal,3,1.0,1.0,0.0,10.0,100000,18489,3302,3302,3302,0,0,17.859267672670235,17.859267672670235,17.859267672670235,17.859267672670235
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,0.6,100000,98966,200,200,200,0,0,0.20208960653153607,0.20208960653153607,0.20208960653153607,0.20208960653153607
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,1.0,100000,92345,3630,3630,3630,0,0,3.930911256700417,3.930911256700417,3.930911256700417,3.930911256700417
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,1.4,100000,83226,8094,8094,8094,0,0,9.725326220171581,9.725326220171581,9.725326220171581,9.725326220171581
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,1.8,100000,72870,10429,10429,10429,0,0,14.311788115822697,14.311788115822697,14.311788115822697,14.311788115822697
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,2.0,100000,67959,10980,10980,10980,0,0,16.15680042378493,16.15680042378493,16.15680042378493,16.15680042378493
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,2.4,100000,59093,11486,11486,11486,0,0,19.437158377472798,19.437158377472798,19.437158377472798,19.437158377472798
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,2.8,100000,51853,11607,11607,11607,0,0,22.384432916128286,22.384432916128286,22.384432916128286,22.384432916128286
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,3.2,100000,46233,11548,11548,11548,0,0,24.97782968875046,24.97782968875046,24.97782968875046,24.97782968875046
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,3.6,100000,41674,11350,11350,11350,0,0,27.23520660363776,27.23520660363776,27.23520660363776,27.23520660363776
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,3.8,100000,39752,11283,11283,11283,0,0,28.38347756087744,28.38347756087744,28.38347756087744,28.38347756087744
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,4.0,100000,38013,11161,11161,11161,0,0,29.361008076184465,29.361008076184465,29.361008076184465,29.361008076184465
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,6.0,100000,26971,10130,10130,10130,0,0,37.558859515776206,37.558859515776206,37.558859515776206,37.558859515776206
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,8.0,100000,21713,9457,9457,9457,0,0,43.554552572191774,43.554552572191774,43.554552572191774,43.554552572191774
RMT_3954_DCC_Type2_Unequal1,4,1.0,0.1,0.0,10.0,100000,18489,8874,8874,8868,6,0,47.99610579263346,47.99610579263346,47.96365406457894,47.96365406457894
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,0.6,100000,98966,198,198,198,0,0,0.2000687104662207,0.2000687104662207,0.2000687104662207,0.2000687104662207
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,1.0,100000,92345,3616,3616,3616,0,0,3.9157507174183768,3.9157507174183768,3.9157507174183768,3.9157507174183768
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,1.4,100000,83226,8061,8061,8061,0,0,9.685675149592676,9.685675149592676,9.685675149592676,9.685675149592676
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,1.8,100000,72870,10401,10401,10401,0,0,14.273363524083985,14.273363524083985,14.273363524083985,14.273363524083985
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,2.0,100000,67959,10955,10955,10955,0,0,16.120013537574124,16.120013537574124,16.120013537574124,16.120013537574124
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,2.4,100000,59093,11462,11462,11462,0,0,19.396544429966323,19.396544429966323,19.396544429966323,19.396544429966323
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,2.8,100000,51853,11583,11583,11583,0,0,22.338148226717838,22.338148226717838,22.338148226717838,22.338148226717838
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,3.2,100000,46233,11536,11536,11536,0,0,24.951874202409535,24.951874202409535,24.951874202409535,24.951874202409535
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,3.6,100000,41674,11336,11336,11336,0,0,27.201612516197148,27.201612516197148,27.201612516197148,27.201612516197148
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,3.8,100000,39752,11276,11276,11276,0,0,28.36586838398068,28.36586838398068,28.36586838398068,28.36586838398068
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,4.0,100000,38013,11150,11150,11150,0,0,29.332070607423777,29.332070607423777,29.332070607423777,29.332070607423777
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,6.0,100000,26971,10125,10125,10125,0,0,37.54032108561047,37.54032108561047,37.54032108561047,37.54032108561047
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,8.0,100000,21713,9451,9451,9451,0,0,43.52691935706719,43.52691935706719,43.52691935706719,43.52691935706719
RMT_3954_DCC_Type2_Unequal2,5,10.0,1.0,0.0,10.0,100000,18489,8872,8872,8872,0,0,47.98528854994862,47.98528854994862,47.98528854994862,47.98528854994862
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,0.6,100000,98966,2,2,2,0,0,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606,0.0020208960653153606
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,1.0,100000,92345,124,124,124,0,0,0.13427906221235583,0.13427906221235583,0.13427906221235583,0.13427906221235583
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,1.4,100000,83226,536,536,536,0,0,0.6440295100088914,0.6440295100088914,0.6440295100088914,0.6440295100088914
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,1.8,100000,72870,972,972,972,0,0,1.3338822560724577,1.3338822560724577,1.3338822560724577,1.3338822560724577
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,2.0,100000,67959,1129,1129,1129,0,0,1.6612957812798894,1.6612957812798894,1.6612957812798894,1.6612957812798894
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,2.4,100000,59093,1503,1503,1503,0,0,2.543448462592862,2.543448462592862,2.543448462592862,2.543448462592862
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,2.8,100000,51853,1729,1729,1729,0,0,3.334426166277747,3.334426166277747,3.334426166277747,3.334426166277747
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,3.2,100000,46233,2000,2000,2000,0,0,4.325914390154219,4.325914390154219,4.325914390154219,4.325914390154219
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,3.6,100000,41674,2164,2164,2164,0,0,5.192686087248644,5.192686087248644,5.192686087248644,5.192686087248644
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,3.8,100000,39752,2226,2226,2226,0,0,5.599718253169652,5.599718253169652,5.599718253169652,5.599718253169652
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,4.0,100000,38013,2295,2295,2295,0,0,6.037408255070634,6.037408255070634,6.037408255070634,6.037408255070634
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,6.0,100000,26971,2816,2816,2816,0,0,10.440843869341144,10.440843869341144,10.440843869341144,10.440843869341144
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,8.0,100000,21713,3010,3010,3010,0,0,13.86266292083084,13.86266292083084,13.86266292083084,13.86266292083084
RMT_3954_DCC_Type2_Limit,6,0.1,0.1,0.0,10.0,100000,18489,3076,3076,3070,6,0,16.63691924928336,16.63691924928336,16.604467521228838,16.604467521228838
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.4,100000,59093,0,1,0,0,1,0.0,0.001692247812769702,0.0,0.001692247812769702
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,2.8,100000,51853,0,1,0,0,1,0.0,0.0019285287254353653,0.0,0.0019285287254353653
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.2,100000,46233,0,1,0,0,1,0.0,0.0021629571950771095,0.0,0.0021629571950771095
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.6,100000,41674,0,4,0,0,4,0.0,0.009598310697317272,0.0,0.009598310697317272
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,3.8,100000,39752,0,7,0,0,7,0.0,0.01760917689675991,0.0,0.01760917689675991
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,4.0,100000,38013,0,9,0,0,9,0.0,0.023676110804198562,0.0,0.023676110804198562
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,6.0,100000,26971,0,53,0,0,53,0.0,0.1965073597567758,0.0,0.1965073597567758
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,8.0,100000,21713,0,118,0,0,118,0.0,0.5434532307834017,0.0,0.5434532307834017
RMT_3954_DCC_Type3_Equal,7,0.0,1.0,1.0,10.0,100000,18489,0,158,0,0,158,0.0,0.8545621721023311,0.0,0.8545621721023311
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,1.8,100000,72870,0,1,0,0,1,0.0,0.0013723068478111707,0.0,0.0013723068478111707
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,2.0,100000,67959,0,4,0,0,4,0.0,0.005885901793728571,0.0,0.005885901793728571
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,2.4,100000,59093,0,28,0,0,28,0.0,0.04738293875755165,0.0,0.04738293875755165
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,2.8,100000,51853,0,41,0,0,41,0.0,0.07906967774284998,0.0,0.07906967774284998
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,3.2,100000,46233,0,105,0,0,105,0.0,0.2271105054830965,0.0,0.2271105054830965
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,3.6,100000,41674,0,182,0,0,182,0.0,0.4367231367279359,0.0,0.4367231367279359
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,3.8,100000,39752,0,240,0,0,240,0.0,0.6037432078889112,0.0,0.6037432078889112
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,4.0,100000,38013,0,296,0,0,296,0.0,0.7786809775603083,0.0,0.7786809775603083
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,6.0,100000,26971,0,805,0,0,805,0.0,2.984687256683104,0.0,2.984687256683104
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,8.0,100000,21713,0,1218,0,0,1218,0.0,5.609542670289688,0.0,5.609542670289688
RMT_3954_DCC_Type3_Unequal1,8,0.0,0.1,1.0,10.0,100000,18489,0,1413,0,0,1413,0.0,7.642381956839202,0.0,7.642381956839202
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,1.8,100000,72870,0,1,0,0,1,0.0,0.0013723068478111707,0.0,0.0013723068478111707
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,2.0,100000,67959,0,4,0,0,4,0.0,0.005885901793728571,0.0,0.005885901793728571
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,2.4,100000,59093,0,28,0,0,28,0.0,0.04738293875755165,0.0,0.04738293875755165
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,2.8,100000,51853,0,38,0,0,38,0.0,0.07328409156654388,0.0,0.07328409156654388
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,3.2,100000,46233,0,104,0,0,104,0.0,0.22494754828801938,0.0,0.22494754828801938
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,3.6,100000,41674,0,178,0,0,178,0.0,0.42712482603061863,0.0,0.42712482603061863
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,3.8,100000,39752,0,237,0,0,237,0.0,0.5961964177902999,0.0,0.5961964177902999
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,4.0,100000,38013,0,293,0,0,293,0.0,0.7707889406255755,0.0,0.7707889406255755
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,6.0,100000,26971,0,795,0,0,795,0.0,2.947610396351637,0.0,2.947610396351637
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,8.0,100000,21713,0,1209,0,0,1209,0.0,5.568092847602818,0.0,5.568092847602818
RMT_3954_DCC_Type3_Unequal2,9,0.0,1.0,10.0,10.0,100000,18489,0,1404,0,0,1404,0.0,7.593704364757423,0.0,7.593704364757423
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,0.6,100000,98966,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,1.0,100000,92345,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,1.4,100000,83226,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,1.8,100000,72870,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,2.0,100000,67959,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,2.4,100000,59093,0,1,0,0,1,0.0,0.001692247812769702,0.0,0.001692247812769702
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,2.8,100000,51853,0,1,0,0,1,0.0,0.0019285287254353653,0.0,0.0019285287254353653
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,3.2,100000,46233,0,1,0,0,1,0.0,0.0021629571950771095,0.0,0.0021629571950771095
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,3.6,100000,41674,0,4,0,0,4,0.0,0.009598310697317272,0.0,0.009598310697317272
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,3.8,100000,39752,0,7,0,0,7,0.0,0.01760917689675991,0.0,0.01760917689675991
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,4.0,100000,38013,0,9,0,0,9,0.0,0.023676110804198562,0.0,0.023676110804198562
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,6.0,100000,26971,0,53,0,0,53,0.0,0.1965073597567758,0.0,0.1965073597567758
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,8.0,100000,21713,0,118,0,0,118,0.0,0.5434532307834017,0.0,0.5434532307834017
RMT_3954_DCC_Type3_Limit,10,0.0,0.1,0.1,10.0,100000,18489,0,158,0,0,158,0.0,0.8545621721023311,0.0,0.8545621721023311
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0,0.0
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,0.6,100000,98966,66,66,66,0,0,0.06668957015540691,0.06668957015540691,0.06668957015540691,0.06668957015540691
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,1.0,100000,92345,1719,1719,1719,0,0,1.861497644701933,1.861497644701933,1.861497644701933,1.861497644701933
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,1.4,100000,83226,3977,3977,3977,0,0,4.778554778554779,4.778554778554779,4.778554778554779,4.778554778554779
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,1.8,100000,72870,5242,5242,5242,0,0,7.193632496226156,7.193632496226156,7.193632496226156,7.193632496226156
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,2.0,100000,67959,5488,5488,5488,0,0,8.0754572609956,8.0754572609956,8.0754572609956,8.0754572609956
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,2.4,100000,59093,5701,5701,5701,0,0,9.647504780600071,9.647504780600071,9.647504780600071,9.647504780600071
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,2.8,100000,51853,5562,5562,5562,0,0,10.726476770871502,10.726476770871502,10.726476770871502,10.726476770871502
RMT_3954_CDD_Type1,11,10.0,1.0,1.0,3.2,100000,46233,5487,5487,5487,0,0,11.8681461293881,11.8681461293881,11.8681461293881,11.8681461293881
