config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.1,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.2,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.3,100000,100000,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.4,100000,99981,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.5,100000,99732,0,0,0,0,0,0,0.0,0.0,0.0
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.6,100000,98966,2,2,2,0,0,0,0.002,0.002,0.002
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.7,100000,97782,8,8,8,0,0,0,0.008,0.008,0.008
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.8,100000,96149,23,23,23,0,0,0,0.023,0.023,0.023
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,0.9,100000,94311,65,65,65,0,0,0,0.065,0.065,0.065
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.0,100000,92345,123,123,123,0,0,0,0.123,0.123,0.123
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.1,100000,90198,225,225,225,0,0,0,0.225,0.225,0.225
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.2,100000,88080,321,321,321,0,0,0,0.321,0.321,0.321
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.3,100000,85689,434,434,434,0,0,0,0.434,0.434,0.434
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.4,100000,83226,534,534,534,0,0,0,0.534,0.534,0.534
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.5,100000,80727,677,677,677,0,0,0,0.677,0.677,0.677
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.6,100000,78077,784,784,784,0,0,0,0.784,0.784,0.784
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,1.8,100000,72870,966,966,966,0,0,0,0.966,0.966,0.966
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,2.0,100000,67959,1129,1129,1129,0,0,0,1.129,1.129,1.129
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,2.2,100000,63389,1350,1350,1350,0,0,0,1.35,1.35,1.35
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,2.4,100000,59093,1501,1501,1501,0,0,0,1.501,1.501,1.501
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,2.6,100000,55261,1617,1617,1617,0,0,0,1.617,1.617,1.617
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,2.8,100000,51853,1728,1728,1728,0,0,0,1.728,1.728,1.728
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,3.0,100000,48898,1882,1882,1882,0,0,0,1.882,1.882,1.882
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,3.2,100000,46233,1999,1999,1999,0,0,0,1.999,1.999,1.999
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,3.4,100000,43879,2064,2064,2064,0,0,0,2.064,2.064,2.064
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,3.6,100000,41674,2160,2160,2160,0,0,0,2.16,2.16,2.16
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,3.8,100000,39752,2225,2225,2225,0,0,0,2.225,2.225,2.225
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,4.0,100000,38013,2293,2293,2293,0,0,0,2.293,2.293,2.293
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,5.0,100000,31319,2561,2561,2561,0,0,0,2.561,2.561,2.561
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,6.0,100000,26971,2837,2837,2831,6,0,0,2.837,2.837,2.831
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,7.0,100000,23995,3014,3014,2995,19,0,0,3.014,3.014,2.995
FINAL_RMT_3954_Type3_WFreeze_Equal1,35,1.0,1.0,0.0,8.0,100000,21713,3107,3107,3059,48,0,0,3.107,3.107,3.059
